AREA,CONCEPT,CENSUS,VERIFIED,EAJ-PNV,EB-AZ,EH-BILDU,ELKARREKIN POD.,ENK-EXI,PH,PP,PSE-EE,STOP,VOX,BLANK,NULL,ABSENT
ZAMUDIO,PERCENTAGE,2527,100,50,,,,,,,,,,,,
ZARATAMO,VOTES,1302,100,335,0,284,39,0,4,19,80,2,0,20,15,504
ZARATAMO,PERCENTAGE,1302,100,42,,,,,,,,,,,,
ZEANURI,VOTES,997,100,341,0,362,15,0,0,2,5,1,0,10,13,248
ZEANURI,PERCENTAGE,997,100,46,,,,,,,,,,,,
ZEBERIO,VOTES,882,100,334,0,314,17,0,1,3,3,2,0,15,7,186
ZEBERIO,PERCENTAGE,882,100,48,,,,,,,,,,,,
ZIERBENA,VOTES,1268,100,456,1,308,29,13,0,6,37,1,10,22,15,370
ZIERBENA,PERCENTAGE,1268,100,51,,,,,,,,,,,,
BOLIBAR,VOTES,323,100,83,0,144,1,0,0,1,2,0,0,5,4,83
BOLIBAR,PERCENTAGE,323,100,35,,,,,,,,,,,,
